Nom;Prenom;Conflit;Date deces;Departement de naissance;Nom departement de naissance
REGRAGUI;Ben Ahmed;1914-1918;07/10/1918;9350;Maroc
SAeD;Ben Brahim;1914-1918;30/09/1918;9350;Maroc
SAeD;Ould Mohamed;1914-1918;12/05/1916;9350;Maroc
SALAH;Ben Allal;1914-1918;03/10/1918;9350;Maroc
SALEM;Ben Mohamed;1914-1918;11/09/1914;9350;Maroc
SLIMAN;Ben Thami;1914-1918;16/04/1917;9350;Maroc
TAeEB;Ben Mekki;1914-1918;21/12/1918;9350;Maroc
ZITOUNI;Ould Ahmed;1914-1918;01/05/1915;9350;Maroc
ABDALLAH;Ben El Hadj Mohamed;1914-1918;16/03/1915;9350;Maroc
ABDEL ALI;Ben Aomar;1914-1918;06/10/1915;9350;Maroc
ABDELKADER;Ben Abdallah;1914-1918;07/01/1919;9350;Maroc
ABDESSELEM;Ben Rahal;1914-1918;17/04/1917;9350;Maroc
AHMED;Ben Abdallah;1914-1918;14/02/1919;9350;Maroc
AHMED;Ben Ali;1914-1918;06/10/1915;9350;Maroc
AHMED;Ben Belgacem;1914-1918;17/10/1918;9350;Maroc
AHMED;Ben Bihi;1914-1918;08/01/1915;9350;Maroc
AHMED;Ben Mohamed;1914-1918;21/08/1918;9350;Maroc
AHMED;Ben Mohamed;1914-1918;30/05/1918;9350;Maroc
AHMED;Ben Mohamed;1914-1918;09/09/1917;9350;Maroc
AHMED;Ben Salah;1914-1918;25/11/1917;9350;Maroc
AHMED;Ben Tahar;1914-1918;19/07/1918;9350;Maroc
AHMED;Ben Taleb;1914-1918;21/02/1918;9350;Maroc
AHMED;Ould Ameur Ould Aessa;1914-1918;21/05/1918;9350;Maroc
AeDA;Ben Abderrahman;1914-1918;08/01/1915;9350;Maroc
AeSSA;Ben Madani;1914-1918;26/09/1915;9350;Maroc
ALI;Ben Ahmed;1914-1918;09/08/1918;9350;Maroc
ALI;Ben Majery;1914-1918;18/03/1918;9350;Maroc
ALI;Ben Mohamed;1914-1918;30/05/1915;9350;Maroc
ALI;Ben Mohamed;1914-1918;13/04/1917;9350;Maroc
ALI;Ould Mohamed;1914-1918;06/10/1915;9350;Maroc
AMHAMED;Ben Hammadi;1914-1918;31/08/1918;9350;Maroc
AOMAR;Ben Boue;1914-1918;13/03/1914;9350;Maroc
BEN KADDOUR;Brick;1914-1918;18/10/1914;9350;Maroc
BOUCHAeB;Ben Ali;1914-1918;03/06/1915;9350;Maroc
BOUCHAeB;Ben Chaoui Abdallah;1914-1918;16/06/1915;9350;Maroc
BOULNOIR;Ould Dahma;1914-1918;11/10/1918;9350;Maroc
BRAHIM;Ben Chassen;1914-1918;08/08/1918;9350;Maroc
BRICK;Ben Mohamed;1914-1918;29/06/1918;9350;Maroc
BRICK OU BREIK;Ben Mohammed Ben Ali;1914-1918;20/05/1919;9350;Maroc
CHAFAe;Ben Mohamed;1914-1918;06/10/1915;9350;Maroc
